cbow,ctxt_size,emb_size,it,mean similarity,std similarity,qt processed
0,2,32,1,0.77714645882016,0.16159743794298922,17827
0,2,32,3,0.7499803349895177,0.14189756089888816,17827
0,2,32,5,0.7408151392133719,0.13649470025255853,17827
0,2,64,1,0.740400822572433,0.1666895142053572,17827
0,2,64,3,0.6832401527935454,0.14263276191153834,17827
0,2,64,5,0.6605400758207238,0.1381579770008017,17827
0,2,128,1,0.7258233996183995,0.16869901826093278,17827
0,2,128,3,0.6202556254952549,0.1411076746566578,17827
0,2,128,5,0.580333008545713,0.12998032770748402,17827
0,2,256,1,0.7262147587627625,0.16903079714404606,17827
0,2,256,3,0.5965225591084049,0.14138444829788946,17827
0,2,256,5,0.517454367594036,0.1234279649870562,17827
0,4,32,1,0.7780252822137097,0.14306022659629206,17827
0,4,32,3,0.7509076240952811,0.1318220112427672,17827
0,4,32,5,0.739942130173522,0.13041995646980648,17827
0,4,64,1,0.7359359716122603,0.14765919099879393,17827
0,4,64,3,0.6836258252235843,0.1314919800681533,17827
0,4,64,5,0.6635305953398565,0.12902945198506413,17827
0,4,128,1,0.7096522550944998,0.15168478244146302,17827
0,4,128,3,0.6122329568721446,0.13072672362475007,17827
0,4,128,5,0.5753180892638805,0.12305281342397369,17827
0,4,256,1,0.709085140881719,0.1515835239107481,17827
0,4,256,3,0.5642651807202076,0.12740118569357478,17827
0,4,256,5,0.4912901210684908,0.1128783506312636,17827
0,6,32,1,0.7773174832569284,0.1335807360144919,17827
0,6,32,3,0.749918899945776,0.12683613529113033,17827
0,6,32,5,0.7395424665224729,0.12531339136822975,17827
0,6,64,1,0.7329223740394106,0.13680039103443953,17827
0,6,64,3,0.684965740848831,0.1262684477386467,17827
0,6,64,5,0.6683257732622788,0.12330443933174128,17827
0,6,128,1,0.7002282069373283,0.141547229175901,17827
0,6,128,3,0.613266600363827,0.12303244057210747,17827
0,6,128,5,0.5861775902383283,0.12135649319030742,17827
0,6,256,1,0.6965456237062644,0.1411376402061297,17827
0,6,256,3,0.5529192035077999,0.12053745826168161,17827
0,6,256,5,0.4953404189508587,0.11288392696602567,17827
0,8,32,1,0.7716843649918035,0.12913076282810437,17827
0,8,32,3,0.7466667671711297,0.12485543524624594,17827
0,8,32,5,0.7364113018589612,0.12676893278958007,17827
0,8,64,1,0.7259242195731598,0.1320869861796921,17827
0,8,64,3,0.6821213357142801,0.12459842339377956,17827
0,8,64,5,0.664857289223885,0.1259666411913737,17827
0,8,128,1,0.686148593183008,0.13563170871145874,17827
0,8,128,3,0.6087880424275572,0.1223331465831032,17827
0,8,128,5,0.5796618831703337,0.12303881594947642,17827
0,8,256,1,0.677191915653989,0.1365624364025891,17827
0,8,256,3,0.538653812787958,0.11769102492732966,17827
0,8,256,5,0.4872398300459177,0.1116749373576948,17827
0,10,32,1,0.7662898828262033,0.12441564163278081,17827
0,10,32,3,0.7400280533585533,0.12357888179705516,17827
0,10,32,5,0.7285257369677928,0.12853729229089877,17827
0,10,64,1,0.7177293347673583,0.12782645757752015,17827
0,10,64,3,0.6772176026445555,0.12322477457032607,17827
0,10,64,5,0.6626912820375839,0.1273421196032642,17827
0,10,128,1,0.6759596285601862,0.13010348168630187,17827
0,10,128,3,0.6049695186489839,0.12077106005420572,17827
0,10,128,5,0.5791587245068296,0.12380365510837718,17827
0,10,256,1,0.6609693986559694,0.1319692441820455,17827
0,10,256,3,0.5292914330539986,0.11445749916260399,17827
0,10,256,5,0.4860372774853363,0.1136545309870209,17827
1,2,32,1,0.6224264631154264,0.23792554232471946,17827
1,2,32,3,0.620669563214374,0.2119388102045234,17827
1,2,32,5,0.6182428696885982,0.20223662937276468,17827
1,2,64,1,0.575460847082098,0.2303157897635096,17827
1,2,64,3,0.5531336861822564,0.19619598573407052,17827
1,2,64,5,0.5432536114095512,0.18374921857077853,17827
1,2,128,1,0.5613721145777306,0.2282502634326654,17827
1,2,128,3,0.4932772498166795,0.179656240607928,17827
1,2,128,5,0.46516803414594016,0.163147273985327,17827
1,2,256,1,0.5634424544900264,0.2289740142906494,17827
1,2,256,3,0.47135183365115496,0.17539592869059795,17827
1,2,256,5,0.4109677256736792,0.1452006242384934,17827
1,4,32,1,0.5924265527152964,0.2564680955140573,17827
1,4,32,3,0.6068502527721875,0.22496714734292472,17827
1,4,32,5,0.6095848283777996,0.21438385479611435,17827
1,4,64,1,0.5546767584617263,0.24682235584400936,17827
